Date,Operating_Income,Expenses,Assets,Liabilities,Equity,Revenue,Cash_Flow,Net_Income,Debt_to_Equity,ROA,Profit_Margin,Interest_Expense,Tax_Expense,Dividend_Payout
1/1/2015,4370861.07,3682573.85,136340296.1,149429583.3,59803407.08,9435946.42,1428845.2,688287.22,2.5,0.01,0.07,609472.14,1042103.16,1170151.42
1/2/2015,9556428.76,1186425.69,195517203,47250517.76,55281922.53,12470620.28,1029017.28,8370003.06,0.85,0.04,0.67,699770.11,1329539.73,492998.93
1/3/2015,7587945.48,3093297.62,151995381,175658980.1,27447676.11,11882092.09,7320721.28,4494647.86,6.4,0.03,0.38,337977.34,345091.11,1603358.92
1/4/2015,6387926.36,3230217.71,209748337.6,138262648.1,87293509.41,4000698.76,1925965.75,3157708.65,1.58,0.02,0.79,1345468.95,1316373.62,426566.77
1/5/2015,2404167.76,2408588.02,81240729.24,277305843.1,70924670.47,3940243.11,6659376.16,-4420.26,3.91,0,0,175614.54,136655.3,2808563.51
1/6/2015,2403950.68,3813999.06,283576905.9,250196114.8,85411753.74,5486266.78,4584731.53,-1410048.38,2.93,0,-0.26,1235596.44,1338468.96,632380.92
1/7/2015,1522752.51,4704651.57,80425653.62,158545616.7,87288785.14,6693971.44,1083923.9,-3181899.06,1.82,-0.04,-0.48,1752422.18,527156.98,833020.99
1/8/2015,8795585.31,4665058.31,410160428.5,102799170.6,77352026.83,7309922.56,7665861.44,4130527,1.33,0.01,0.57,1792581.08,506152.07,1279245.93
1/9/2015,6410035.11,2528777.17,155170436.9,395453667.1,49528954.11,10836063.82,2352208.75,3881257.93,7.98,0.03,0.36,953171.74,792528.44,1211176.96
1/10/2015,7372653.2,1009571.21,293005361.6,192520616.1,64949207.95,2736845.62,6947340.09,6363081.99,2.96,0.02,2.32,972677.01,1414000.77,2404522.39
1/11/2015,1185260.45,4931785.4,446035589.4,281544209.6,24432886.55,2450745.15,1766075.04,-3746524.95,11.52,-0.01,-1.53,246241.45,119282.98,1423318.78
1/12/2015,9729188.67,4275041.39,342894816.1,73410127.68,70628087.57,7094837.32,6904571.62,5454147.28,1.04,0.02,0.77,1374453.55,560734.91,595227.95
1/13/2015,8491983.77,1060982.07,289831004,204524085.9,26132793.02,11063128,599216.1,7431001.7,7.83,0.03,0.67,1660392.9,1292029.38,874908.7
1/14/2015,2911052,4643788.47,195950188.9,30463953.55,72455463.15,4514659.46,4338353.42,-1732736.48,0.42,-0.01,-0.38,564844.6,624278.99,1576428.82
1/15/2015,2636424.7,4414533.63,199850860.9,212072944.8,30663834.47,10339558.26,6270819.35,-1778108.92,6.92,-0.01,-0.17,900471.68,338777.5,527616.36
1/16/2015,2650640.59,2834771.26,351269129.8,386326614.7,20579617.01,5377765.79,7510966.38,-184130.67,18.77,0,-0.03,1693794.74,665951.56,1873801.46
1/17/2015,3738180.19,3160739.46,497362712.6,165998550.9,24875604.11,13519119.41,7319016.02,577440.73,6.67,0,0.04,1766528.89,609051.13,1740667.19
1/18/2015,5722807.88,2295512.17,347827635.4,34818484.78,10179292.17,13643969.28,6647186.52,3427295.72,3.42,0.01,0.25,562041.96,1377353.49,2172636.72
1/19/2015,4887505.17,746427.37,301002537.8,31763200.55,74686565.61,5864733.66,7161435.12,4141077.79,0.43,0.01,0.71,1146084.21,1154804.84,2819343.38
1/20/2015,3621062.26,2008387.59,378792729.6,167434968.8,75916094.42,4989918.8,1994147.64,1612674.67,2.21,0,0.32,465736.99,782417.56,2745538.23
1/21/2015,6506676.05,4112840.52,259342525.5,80809475.86,56344001.49,7346951.64,2631382.22,2393835.53,1.43,0.01,0.33,293569.65,1483137.32,2843619.29
1/22/2015,2255444.75,520844.1,77064054.17,28873796.6,24522652.09,5126910.61,2667263.94,1734600.64,1.18,0.02,0.34,1831128.95,724652.42,809675.23
1/23/2015,3629301.84,2000746.27,303033567.2,307361173.3,17519890.38,10740989.96,3327904.48,1628555.56,17.54,0.01,0.15,1658964.26,134444.85,481539.39
1/24/2015,4297256.59,2291759.12,480931378,194238743.4,11721606.98,12738840.9,3449905.03,2005497.47,16.57,0,0.16,1544066.31,430297.77,976602.43
1/25/2015,5104629.86,2918280.21,128886324.1,129913013.4,24917335.93,10750197.7,4584164.93,2186349.64,5.21,0.02,0.2,192656.01,682302.2,2695747
1/26/2015,8066583.65,4639350.27,360502200.9,362031609.6,90176998.15,12716555.81,1699098.23,3427233.38,4.01,0.01,0.27,1703084.71,277508.81,2918955.08
1/27/2015,2797064.04,2058556.97,140420159.9,64132804.88,31738315.75,7160898.11,5684349.98,738507.06,2.02,0.01,0.1,932283.74,1423969.43,2592042.36
1/28/2015,5628109.95,2061289.41,291122458,383249155,41884419.45,4032120.62,1756749.04,3566820.54,9.15,0.01,0.88,750550.73,1161930.9,419051.39
1/29/2015,6331731.12,3818755.62,93504402.34,139307352.6,19481093.6,11593362.32,2827313.62,2512975.5,7.15,0.03,0.22,1138305.09,439016.44,2847541.19
1/30/2015,1418053.71,2534980.73,252666921.3,357593395.5,30012517.43,6686168.57,4275088.48,-1116927.02,11.91,0,-0.17,273571.16,906666.57,1327738.28
1/31/2015,6467903.67,1510721.7,390273498,249118293.1,56730211.37,10726520.73,6473304.21,4957181.96,4.39,0.01,0.46,1537628.44,1096101.28,126999.84
2/1/2015,2534717.11,2535977.82,206407185.9,334148796.7,64697741.48,5518371.25,6046019.25,-1260.71,5.16,0,0,1206626.65,1414854.45,1382941.85
2/2/2015,1585464.34,1133856.59,349210276,393925002,32081708.27,3055985.25,5341507.67,451607.75,12.28,0,0.15,454521.18,1328371.26,233600.59
2/3/2015,9539969.84,1293741.44,407952482.4,129594066.4,15195894.33,14903563.34,1668299.45,8246228.4,8.53,0.02,0.55,457641.18,797028.73,1677245.97
2/4/2015,9690688.3,2742654.98,467230018.8,385231484.5,45192958.22,4030619.6,4602840.09,6948033.32,8.52,0.01,1.72,450072.44,1173246.3,1081806.68
2/5/2015,8275576.13,2385164.52,155588936.8,168003120.1,31078303.38,14849472.92,1155848.76,5890411.61,5.41,0.04,0.4,208304.54,865109.89,1472961.31
2/6/2015,3741523.92,4616806.55,229692162.1,166494523.8,29759853.09,14704639.12,3330223.83,-875282.63,5.59,0,-0.06,1216817.05,851420.64,1878194.05
2/7/2015,1879049.03,2130772.55,118587206,149347099.6,96387652.24,12319635.35,3601373.98,-251723.52,1.55,0,-0.02,1696661.54,216375.84,2619523.18
2/8/2015,7158097.24,3112647.58,496617576,225734890.8,65467043.73,10572498.51,798585.8,4045449.66,3.45,0.01,0.38,133246.61,232899.6,2019514.57
2/9/2015,4961372.44,3345189.3,467150435.6,78575116.41,60119059.89,9511491.65,2554910.75,1616183.15,1.31,0,0.17,193108.83,817823.74,1358741.72
2/10/2015,2098344.11,558925.05,292980708.6,230410364.4,47419759.32,13259320.09,7667371,1539419.06,4.86,0.01,0.12,1188263.53,439849.24,2476340.78
2/11/2015,5456592.19,3485918.17,428914982.5,225847828.7,48604990.01,5762713.78,7652244.56,1970674.02,4.65,0,0.34,1657041.8,80503.51,2726188.2
2/12/2015,1309496.69,1301161.85,284431089.8,309522688.8,58681450.35,8079855.76,3142452.91,8334.84,5.27,0,0,720803.89,1098116.85,447303.9
2/13/2015,9183883.62,4824816.43,330613559.6,336786985.5,72678682.63,10052069.6,823250.82,4359067.19,4.63,0.01,0.43,764267.36,97105.57,1642605.63
2/14/2015,3329019.83,1168982.27,90105994.45,187367713.1,73193148.66,7345476.19,1843212.04,2160037.56,2.56,0.02,0.29,1233058.35,913151.42,925084.68
2/15/2015,6962700.56,2365808.56,389871689.2,134886634.8,25452451.69,7557323.9,3441633.45,4596892,5.3,0.01,0.61,621004.49,831831,236477.47
